FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0.0,0.8333333333333334,,,,0.0,,,,,,,,,,,,,,,,,,,,0.5555555555555556
2020-03-06,0.0,0.7142857142857143,,,,0.0,,,,,,,,,,,,,,,,,,,,0.45454545454545453
2020-03-07,1.6666666666666667,0.625,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.625
2020-03-08,3.3333333333333335,2.7777777777777777,,0.0,,5.0,,,,,,,,,,0.0,,,0.0,,,,,,,2.3529411764705883
2020-03-09,3.3333333333333335,5.0,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,3.4615384615384612
2020-03-10,2.142857142857143,5.0,,0.0,,5.0,,,,,,,,,,0.0,,,0.0,,,,,,,2.727272727272727
2020-03-11,2.142857142857143,5.625,,2.5,,5.0,,,,,,,,,,5.0,,,5.0,,,,,,,3.8636363636363633
2020-03-12,2.5,3.5714285714285716,,3.3333333333333335,,2.5,,,,,,,,,,,,,,,0.0,,,,,3.3928571428571432
2020-03-13,3.125,2.8947368421052633,,2.0,,2.5,,,,,,,,,,,,,,,0.0,,0.0,,,2.8378378378378377
2020-03-14,5.625,3.0434782608695654,,2.5,,5.0,,,,,,,,,,,,,,,0.0,,0.0,,,3.5227272727272725
2020-03-15,8.333333333333334,3.3333333333333335,,2.857142857142857,,3.3333333333333335,,0.0,,0.0,,,,,,5.0,0.0,,,0.0,0.0,,0.0,,,3.541666666666667
2020-03-16,5.5,3.59375,,3.125,,3.75,,0.0,,0.0,,,,,,5.0,0.0,,,0.0,5.0,,0.0,,,3.5714285714285716
2020-03-17,2.5,4.3939393939393945,,3.888888888888889,,2.5,,0.0,,0.0,,,,,,2.5,0.0,,,0.0,5.0,,5.0,0.0,,3.373493975903614
