personas,17541141
varones,8607537
mujeres,8933604
fecha,fallecidos,terapia,casos_dx,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,1,3,0,10,10,0
2020-01-02,0,0,2,2,0,18,18,0
2020-01-03,0,0,0,0,0,7,7,0
2020-01-04,0,0,2,5,0,8,8,0
2020-01-05,0,0,0,0,0,3,3,0
2020-01-06,0,0,3,16,0,5,5,0
2020-01-07,0,0,0,2,0,4,4,0
2020-01-08,0,0,0,1,0,6,6,0
2020-01-09,0,0,0,0,0,1,1,0
2020-01-10,0,0,0,6,0,4,4,0
2020-01-11,0,0,0,0,0,3,3,0
2020-01-12,0,0,0,4,0,2,2,0
2020-01-13,0,0,0,0,0,2,2,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,2,2,0
2020-01-16,0,0,0,0,0,3,3,0
2020-01-17,0,0,0,0,0,1,1,0
2020-01-18,0,0,0,0,0,3,3,0
2020-01-19,0,0,10,34,0,2,2,0
2020-01-20,0,0,0,1,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,2,2,0
2020-01-23,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,2,2,0
2020-01-26,0,0,0,0,0,8,8,0
2020-01-27,0,0,0,5,0,5,5,0
2020-01-28,0,0,0,0,0,8,8,0
2020-01-29,0,0,1,1,0,4,4,0
2020-01-30,0,0,1,7,0,8,8,0
2020-01-31,0,0,0,0,0,9,9,0
2020-02-01,0,0,0,1,0,2,2,0
2020-02-02,0,0,0,0,0,2,2,0
2020-02-03,0,0,0,1,0,0,0,0
2020-02-04,0,0,0,0,0,1,1,0
2020-02-05,0,0,0,0,0,2,2,0
2020-02-06,0,0,0,0,0,2,2,0
2020-02-07,0,0,0,1,0,5,5,0
2020-02-08,0,0,0,0,0,2,2,0
2020-02-09,0,0,0,0,0,4,4,0
2020-02-10,0,0,0,0,0,5,5,0
2020-02-11,0,0,0,0,0,1,1,0
2020-02-12,0,0,0,2,0,1,1,0
2020-02-13,0,0,0,0,0,3,3,0
2020-02-14,0,0,0,0,0,1,1,0
2020-02-15,0,0,0,0,0,1,1,0
2020-02-16,0,0,0,0,0,1,1,0
2020-02-17,0,0,0,0,0,2,2,0
2020-02-18,0,0,0,0,0,1,1,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,1,0,2,2,0
2020-02-21,0,0,0,0,0,5,5,0
2020-02-22,0,0,0,0,0,5,5,0
2020-02-23,0,0,0,0,0,1,1,0
2020-02-24,0,0,0,0,0,1,1,0
2020-02-25,0,0,0,8,0,1,1,0
2020-02-26,0,0,0,0,0,6,6,0
2020-02-27,0,0,0,3,0,9,9,0
2020-02-28,0,0,0,4,0,2,2,0
2020-02-29,0,0,0,0,0,3,3,0
2020-03-01,0,0,0,0,0,2,2,0
2020-03-02,0,0,0,3,0,4,4,0
2020-03-03,0,0,0,3,1,4,4,0
2020-03-04,0,0,0,2,1,0,0,1
2020-03-05,0,0,0,1,1,4,4,0
2020-03-06,0,0,1,3,0,6,6,1
2020-03-07,0,0,0,1,4,1,1,1
2020-03-08,0,1,0,5,1,7,7,0
2020-03-09,0,1,1,5,4,8,8,3
2020-03-10,0,0,1,5,2,11,11,2
2020-03-11,0,0,1,9,4,4,4,3
2020-03-12,0,1,5,11,3,19,19,8
2020-03-13,0,1,1,20,8,13,13,9
2020-03-14,0,1,2,22,5,19,19,3
2020-03-15,0,0,0,17,9,18,18,7
2020-03-16,0,1,3,28,3,25,25,10
2020-03-17,0,1,3,35,14,27,29,13
2020-03-18,0,3,10,53,16,25,30,13
2020-03-19,0,1,11,27,7,33,34,11
2020-03-20,0,1,8,48,17,36,36,19
2020-03-21,1,2,14,76,15,36,34,23
2020-03-22,0,4,10,40,19,33,28,28
2020-03-23,0,1,9,54,22,38,38,27
2020-03-24,2,3,31,84,11,31,31,27
2020-03-25,0,2,42,159,23,30,30,35
2020-03-26,3,1,35,113,16,32,34,32
2020-03-27,0,3,25,89,25,36,36,27
2020-03-28,1,3,12,68,23,23,23,26
2020-03-29,1,4,19,131,20,18,21,25
2020-03-30,1,9,22,144,31,38,42,33
2020-03-31,0,6,21,123,22,32,33,25
2020-04-01,2,2,29,204,14,36,37,27
2020-04-02,3,5,31,306,33,51,48,39
2020-04-03,3,2,32,458,25,39,34,41
2020-04-04,1,5,31,384,20,28,30,32
2020-04-05,5,6,14,288,14,25,37,11
2020-04-06,3,4,32,335,21,34,37,41
2020-04-07,4,2,17,439,13,34,37,34
2020-04-08,5,3,23,423,22,51,56,37
2020-04-09,2,2,20,420,16,60,51,38
2020-04-10,3,2,43,444,22,49,52,40
2020-04-11,2,6,18,332,23,56,64,44
2020-04-12,2,1,35,303,22,61,59,47
2020-04-13,2,3,23,427,24,61,65,74
2020-04-14,1,3,63,569,25,53,53,44
2020-04-15,5,2,50,637,30,71,65,62
2020-04-16,4,1,42,660,23,73,81,58
2020-04-17,3,4,35,708,37,73,93,74
2020-04-18,4,3,59,604,29,84,90,55
2020-04-19,3,4,26,452,32,65,74,49
2020-04-20,2,4,48,774,45,120,122,106
2020-04-21,4,1,62,1011,25,94,77,131
2020-04-22,7,3,59,862,32,82,80,87
2020-04-23,5,4,69,856,38,76,84,122
2020-04-24,6,5,77,963,23,86,83,115
2020-04-25,6,4,81,890,25,86,94,60
2020-04-26,5,3,30,506,22,85,109,50
2020-04-27,7,3,67,764,27,81,59,105
2020-04-28,5,3,63,1054,29,77,74,102
2020-04-29,4,2,89,983,30,71,58,85
2020-04-30,6,1,49,878,22,95,75,110
2020-05-01,7,0,48,811,26,72,86,41
2020-05-02,1,8,38,601,23,70,87,65
2020-05-03,7,1,31,389,14,73,94,41
2020-05-04,2,4,46,865,25,103,115,84
2020-05-05,3,5,78,967,25,110,113,84
2020-05-06,7,0,60,824,28,93,76,113
2020-05-07,7,3,61,825,29,96,92,109
2020-05-08,4,3,74,855,35,107,106,96
2020-05-09,6,5,57,782,27,103,105,60
2020-05-10,6,3,39,429,21,136,148,55
2020-05-11,7,5,58,851,51,143,154,135
2020-05-12,2,5,90,1066,38,151,154,134
2020-05-13,5,3,96,997,57,150,155,125
2020-05-14,10,2,93,1027,30,161,210,151
2020-05-15,9,3,98,1122,47,196,194,151
2020-05-16,3,5,119,946,60,245,270,142
2020-05-17,3,4,54,596,46,214,285,135
2020-05-18,8,4,156,1219,80,348,356,246
2020-05-19,6,6,155,1505,75,267,310,235
2020-05-20,5,12,195,1421,103,345,342,264
2020-05-21,10,16,266,1519,105,326,261,353
2020-05-22,9,11,298,1552,91,338,319,375
2020-05-23,7,6,227,1274,60,305,301,268
2020-05-24,4,6,153,814,56,310,340,220
2020-05-25,6,6,246,1283,90,384,436,255
2020-05-26,6,10,273,1497,69,422,413,322
2020-05-27,9,9,269,1712,96,385,363,340
2020-05-28,8,16,261,1711,127,417,477,426
2020-05-29,9,12,332,2016,90,411,469,471
2020-05-30,8,10,314,1599,94,363,448,393
2020-05-31,8,9,202,987,75,312,417,243
2020-06-01,17,8,418,1836,97,663,672,533
2020-06-02,11,17,477,1905,94,565,546,480
2020-06-03,15,8,403,2044,105,584,524,518
2020-06-04,13,12,387,2005,108,619,655,524
2020-06-05,13,14,445,2180,111,670,687,599
2020-06-06,21,22,557,1956,132,689,813,480
2020-06-07,20,10,237,959,111,612,694,415
2020-06-08,25,21,458,2069,155,870,921,718
2020-06-09,10,14,681,2433,171,828,819,746
2020-06-10,21,15,699,2510,168,1061,921,864
2020-06-11,14,12,819,2930,153,809,829,894
2020-06-12,20,16,820,2839,165,1028,1043,1000
2020-06-13,13,17,837,3073,138,901,1020,717
2020-06-14,20,14,485,1734,145,912,1088,597
2020-06-15,25,13,700,2201,138,1164,1303,824
2020-06-16,23,18,888,2668,187,1347,1373,1110
2020-06-17,28,20,1079,3418,201,1251,1161,1165
2020-06-18,25,21,1108,3633,187,1397,1443,1297
2020-06-19,22,28,1161,3458,203,1471,1595,1292
2020-06-20,17,24,1430,3781,202,1732,1916,1296
2020-06-21,35,24,631,1880,163,1246,1522,807
2020-06-22,29,27,1152,3349,202,1737,1880,1566
2020-06-23,37,28,1464,4041,239,1673,1597,1710
2020-06-24,35,28,1418,3979,219,1599,1360,1900
2020-06-25,35,26,1745,4682,203,1596,1565,1830
2020-06-26,47,21,1843,4805,216,1778,1800,1769
2020-06-27,51,22,1492,4164,199,1562,1700,1341
2020-06-28,40,23,969,2365,153,1458,1816,1057
2020-06-29,32,29,1356,4054,230,1844,2011,1861
2020-06-30,48,27,1754,4411,208,1845,1771,1920
2020-07-01,63,28,1803,4566,229,2396,2186,1905
2020-07-02,60,27,1744,4400,211,2016,2046,1949
2020-07-03,49,26,2155,4962,238,2265,2355,1967
2020-07-04,68,30,2215,5245,222,1989,2237,1524
2020-07-05,75,32,1065,2543,206,1858,2192,1377
2020-07-06,54,26,1766,4173,264,2412,2339,2491
2020-07-07,68,39,2141,4830,312,2529,2351,2605
2020-07-08,91,39,2684,5974,231,2283,2080,2454
2020-07-09,70,34,2380,5456,236,2263,2408,2099
2020-07-10,91,41,2359,5099,262,2878,3273,2034
2020-07-11,88,40,2203,4852,230,2272,2716,1969
2020-07-12,64,27,1259,2658,230,2498,3069,1584
2020-07-13,72,35,2216,4899,293,3063,3285,2879
