personas,45376763
varones,22273132
mujeres,23103631
fecha,fallecidos,terapia,casos_dx,diagnosticos,internados,casos_fis,casos_fis_ajustada,casos_fa
2020-01-01,0,0,18,35,1,22,22,0
2020-01-02,0,0,13,43,0,30,30,0
2020-01-03,0,0,0,4,0,14,14,0
2020-01-04,0,0,7,17,0,10,10,0
2020-01-05,0,0,4,10,0,9,9,0
2020-01-06,0,0,8,53,0,10,10,0
2020-01-07,0,0,3,28,0,7,7,0
2020-01-08,0,0,3,5,0,11,11,0
2020-01-09,0,0,0,1,0,6,6,0
2020-01-10,0,0,0,76,0,7,7,0
2020-01-11,0,0,0,0,0,7,7,0
2020-01-12,0,0,2,36,0,9,9,0
2020-01-13,0,0,0,1,0,3,3,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,1,1,0,3,3,0
2020-01-16,0,0,1,2,0,6,6,0
2020-01-17,0,0,0,3,0,4,4,0
2020-01-18,0,0,0,0,0,5,5,0
2020-01-19,0,0,10,34,0,3,3,0
2020-01-20,0,0,0,3,0,9,9,0
2020-01-21,0,0,0,1,0,4,4,0
2020-01-22,0,0,0,1,0,4,4,0
2020-01-23,0,0,0,0,0,2,2,0
2020-01-24,0,0,0,0,0,4,4,0
2020-01-25,0,0,0,0,0,7,7,0
2020-01-26,0,0,1,1,0,15,15,0
2020-01-27,0,0,0,17,0,13,13,0
2020-01-28,0,0,2,2,0,17,17,0
2020-01-29,0,0,1,3,0,18,18,0
2020-01-30,0,0,2,18,0,23,23,0
2020-01-31,0,0,1,2,0,22,22,0
2020-02-01,0,0,0,37,0,4,4,0
2020-02-02,0,0,2,2,0,2,2,0
2020-02-03,0,0,0,1,0,1,1,0
2020-02-04,0,0,1,1,0,2,2,0
2020-02-05,0,0,0,0,0,2,2,0
2020-02-06,0,0,0,0,0,3,3,0
2020-02-07,0,0,0,1,0,7,7,0
2020-02-08,0,0,0,0,0,3,3,0
2020-02-09,0,0,0,0,0,6,6,0
2020-02-10,0,0,1,4,0,6,6,0
2020-02-11,0,0,1,3,0,3,3,0
2020-02-12,0,0,0,7,0,3,3,0
2020-02-13,0,0,1,1,0,4,4,0
2020-02-14,0,0,0,0,0,1,1,0
2020-02-15,0,0,0,0,0,1,1,0
2020-02-16,0,0,0,0,0,2,2,0
2020-02-17,0,0,0,0,0,6,6,0
2020-02-18,0,0,0,0,0,4,4,0
2020-02-19,0,0,1,1,0,2,2,0
2020-02-20,0,0,0,2,0,6,6,0
2020-02-21,0,0,0,0,0,12,12,0
2020-02-22,0,0,0,0,0,12,12,0
2020-02-23,0,0,0,0,0,5,5,0
2020-02-24,0,0,1,1,0,7,7,0
2020-02-25,0,0,0,20,0,6,6,0
2020-02-26,0,0,0,0,0,9,9,0
2020-02-27,0,0,0,5,0,17,17,0
2020-02-28,0,0,0,9,0,9,9,0
2020-02-29,0,0,0,1,0,9,9,0
2020-03-01,0,0,0,0,1,7,7,0
2020-03-02,0,0,0,6,1,9,9,1
2020-03-03,0,0,1,7,3,9,9,2
2020-03-04,0,1,0,6,2,9,9,1
2020-03-05,0,0,0,7,2,11,11,5
2020-03-06,0,1,6,10,4,18,18,3
2020-03-07,1,0,1,7,5,5,5,6
2020-03-08,0,1,2,26,1,15,16,2
2020-03-09,0,3,6,13,8,25,25,4
2020-03-10,0,0,9,36,5,26,27,8
2020-03-11,1,0,4,31,13,35,36,11
2020-03-12,0,2,10,44,14,49,48,22
2020-03-13,1,1,6,84,20,48,49,32
2020-03-14,0,4,7,50,15,61,62,13
2020-03-15,0,2,11,81,18,66,68,16
